"vess","yr","month","tech_1","tech_2","tech_3","lat","lon","catch"
"ID_17",1984,5,0,0,0,311,574,0.281722068636914
"ID_6",2003,11,1,1,1,235,309,139.0863767053
"ID_15",1992,1,1,0,0,102,130,47.4583351256768
"ID_7",1981,8,0,0,0,73,397,5.83060006904971
"ID_12",1987,6,1,0,0,34,57,55.3902568065636
"ID_12",1990,8,1,0,0,243,201,35.783349032568
"ID_12",2006,9,1,1,0,215,240,10.1133761666604
"ID_19",1998,5,1,1,0,355,293,0.170856510268484
"ID_1",1988,6,1,0,0,40,30,46.4492865823956
"ID_4",2004,8,1,1,0,261,271,22.2062340560581
"ID_14",2001,12,1,1,0,200,145,66.3900691743801
"ID_7",1982,4,0,0,0,147,254,62.2952682540786
"ID_11",1985,5,0,0,0,388,273,0.0213418178798055
"ID_15",1982,7,0,0,0,63,123,83.1713381593544
"ID_19",2000,7,1,1,0,79,36,203.705057346145
"ID_10",2002,5,1,1,1,43,400,0.589407080030693
"ID_19",2006,6,1,1,1,187,259,12.3900273229166
"ID_11",1986,11,0,0,0,81,515,43.7213367505754
"ID_7",1995,2,1,0,0,217,119,68.687088521904
"ID_6",2006,11,1,1,1,316,245,15.3035216461116
"ID_5",1982,2,0,0,0,307,337,19.2518963041568
"ID_14",1987,8,0,0,0,273,145,2.19328802621763
"ID_18",1993,3,1,0,0,91,465,19.6633406753165
"ID_17",2006,6,1,1,0,384,32,17.5485799266537
"ID_18",1985,1,1,0,0,227,549,10.3046864401632
"ID_8",1994,12,1,0,0,145,351,95.7369258782813
"ID_1",1982,1,1,0,0,375,389,16.7511800831449
"ID_11",1996,2,1,1,0,373,460,0.0253103990172285
"ID_18",1982,3,0,0,0,54,65,71.8021896804
"ID_15",1983,3,0,0,0,215,166,79.6907984086479
"ID_20",1998,9,1,1,0,135,338,343.105941083398
"ID_20",1982,5,0,0,0,134,437,199.962725059096
"ID_16",1981,4,0,0,0,304,282,49.0707586763066
"ID_17",1992,12,1,0,0,288,293,15.3590544501137
"ID_6",1991,5,1,1,0,215,37,54.2530501698014
"ID_13",1993,3,1,0,0,255,565,0.18099078955331
"ID_9",1985,3,1,0,0,146,253,32.0637935116214
"ID_19",1984,10,0,0,0,151,552,25.5928002160373
"ID_2",1995,11,1,0,0,343,424,1.11409727152963
"ID_2",2000,2,1,1,0,162,575,3.78129517744922
"ID_13",1998,3,1,0,0,234,562,0.0480681452653595
"ID_15",1982,12,0,0,0,57,315,9.65927388709723
"ID_10",1995,3,1,1,0,331,549,0.0140037991174954
"ID_11",1983,7,0,0,0,116,81,26.4766899606147
"ID_13",1992,8,1,0,0,237,167,61.9579793255974
"ID_18",1988,3,1,0,0,197,29,35.2147441230183
"ID_18",2008,7,1,1,0,188,78,31.9995040632229
"ID_8",1989,12,0,0,0,175,391,58.7293186478557
"ID_4",1992,1,1,0,0,194,343,66.569250523887
"ID_11",2007,8,1,1,1,56,57,201.482002036742
"ID_13",2000,9,1,0,0,113,532,8.71228811492505
"ID_10",1988,4,0,0,0,237,160,19.0147478609107
"ID_12",1990,4,1,0,0,58,231,8.3967013934539
"ID_19",2001,7,1,1,0,275,446,38.9311676090855
"ID_11",1993,5,1,0,0,319,271,19.1629856153598
"ID_4",2001,10,1,1,0,307,410,17.6874169097214
"ID_12",2008,7,1,1,0,337,354,6.69907929741289
"ID_12",1990,1,1,0,0,199,40,45.5542597876601
"ID_5",2008,11,1,1,0,216,93,32.2602571958322
"ID_4",1982,8,0,0,0,175,14,122.686553706265
"ID_20",1994,12,1,1,0,240,324,21.1677938260337
"ID_3",1997,9,1,0,0,344,235,1.74119703475412
"ID_3",1990,5,1,0,0,293,455,4.03435175081644
"ID_3",2005,11,1,1,1,352,122,92.5466232287892
"ID_1",1980,5,0,0,0,287,93,9.39285931068038
"ID_8",1992,7,1,0,0,375,132,49.523433486814
"ID_11",1999,4,1,1,1,204,566,1.31545563285691
"ID_8",1984,1,0,0,0,148,342,5.95131268645869
"ID_12",1983,4,0,0,0,37,112,24.7310389681735
"ID_12",1980,1,0,0,0,28,393,0.341598780834451
"ID_18",2007,3,1,1,0,257,199,9.36188507336049
"ID_2",1997,12,1,0,0,157,483,57.4699771711691
"ID_18",1989,1,1,0,0,89,111,33.3364348161198
"ID_5",1989,4,1,0,0,211,382,78.5921045590583
"ID_7",1983,8,0,0,0,39,211,55.6232472036194
"ID_11",1990,7,0,0,0,113,69,19.6126769255743
"ID_20",1986,12,1,0,0,68,320,0.751551016656007
"ID_20",2008,3,1,1,0,108,173,9.11400306869826
"ID_18",2009,1,1,1,0,213,513,0.0490495294594251
"ID_1",1990,7,1,1,0,268,363,108.749960362525
"ID_13",1992,4,1,0,0,328,12,10.8333145619545
"ID_18",1989,7,1,0,0,284,35,2.18927226667392
"ID_11",1996,4,1,1,0,127,21,21.0405629983849
"ID_13",2008,5,1,1,0,328,299,9.7516020623408
"ID_3",2006,10,1,1,1,179,383,61.2900908218209
"ID_13",1995,10,1,0,0,372,565,0.000091571607083465
"ID_16",1989,8,1,0,0,335,11,27.8279481644752
"ID_17",1992,7,1,0,0,216,54,27.7806919043711
"ID_6",1998,10,1,1,0,327,556,0.0414982681772841
"ID_1",1995,1,1,1,1,103,345,101.871427413207
"ID_10",2001,12,1,1,1,274,106,32.5799400587858
"ID_18",2002,12,1,1,0,249,275,29.8607203841602
"ID_15",2004,9,1,1,0,38,469,1.76207324719339
"ID_9",1995,9,1,0,0,216,116,51.1670908333816
"ID_17",1995,2,1,0,0,262,56,5.9762406643226
"ID_2",1996,9,1,0,0,320,251,47.6771292079502
"ID_2",1990,11,0,0,0,297,235,2.24166665167882
"ID_19",1981,2,0,0,0,64,576,54.8934031938447
"ID_8",1987,12,0,0,0,194,456,23.2707081318899
"ID_10",1981,10,0,0,0,165,479,61.2464945149852
"ID_8",1998,4,1,0,0,213,22,102.302513192996
"ID_5",2009,3,1,1,0,99,50,82.3034609649779
"ID_11",2000,12,1,1,1,384,437,0.0579952065672285
"ID_8",1985,11,0,0,0,237,453,99.034861336418
"ID_9",1981,6,0,0,0,372,380,3.65971779510241
"ID_11",1997,4,1,1,0,188,353,77.03390588538
"ID_1",1996,5,1,1,1,166,40,384.56250386564
"ID_8",1997,10,1,0,0,87,43,61.6390221020926
"ID_7",1993,1,1,0,0,197,277,4.72824343298309
"ID_7",1998,4,1,0,0,60,47,94.4411288551849
"ID_10",2004,9,1,1,1,384,369,0.134614869906814
"ID_5",1997,6,1,1,0,108,83,105.234864334189
"ID_8",1980,2,0,0,0,237,511,26.9535850469208
"ID_18",2004,1,1,1,0,220,207,28.0822449969679
"ID_11",1993,5,1,0,0,292,328,3.06860499275158
"ID_8",1985,4,0,0,0,148,389,27.7136989064808
"ID_15",2000,5,1,1,0,198,417,77.4673875877484
"ID_1",2008,2,1,1,1,321,141,34.0597929143076
"ID_4",2000,8,1,1,0,377,462,0.0401515093682621
"ID_19",1984,12,0,0,0,232,197,47.9586751439111
"ID_6",1990,11,1,1,0,101,467,14.2878368008167
"ID_6",1988,1,1,1,0,185,445,25.6860985873107
"ID_4",1997,10,1,1,0,388,73,16.5996488331373
"ID_19",2002,1,1,1,0,382,450,0.38199544431015
"ID_7",1983,7,0,0,0,249,499,125.029030646148
"ID_7",2003,8,1,1,0,285,129,5.46490219482365
"ID_9",1985,8,1,0,0,51,29,33.7015132175802
"ID_19",1993,11,1,1,0,310,545,0.122946658632651
"ID_2",2007,2,1,1,0,205,344,17.2512962135362
"ID_7",1986,1,0,0,0,305,347,31.8571264166653
"ID_9",1993,9,1,0,0,281,541,0.636425661832286
"ID_14",1998,6,1,1,0,368,216,1.02168765573953
"ID_2",2002,12,1,1,0,374,293,0.414451419670566
"ID_12",1992,3,1,0,0,252,94,11.0562692180275
"ID_2",1992,1,0,0,0,98,484,51.4687742829159
"ID_20",2005,4,1,1,0,44,92,194.424946529526
"ID_3",1997,7,1,0,0,234,222,36.7767257606812
"ID_9",1996,10,1,0,0,57,283,1.98600880051009
"ID_15",1999,8,1,0,0,156,507,181.976660011879
"ID_15",2009,3,1,1,0,343,47,59.3464897544117
"ID_16",2000,3,1,1,1,125,452,348.425192573795
"ID_6",1980,2,0,0,0,88,494,20.1897391681295
"ID_19",1995,7,1,1,0,234,502,9.60755572087419
"ID_12",1992,8,1,0,0,218,110,31.8937970948416
"ID_6",1984,3,0,0,0,32,410,5.36598878710035
"ID_15",1985,9,0,0,0,274,329,7.38851422056332
"ID_11",2008,6,1,1,1,53,502,0.803361384250814
"ID_20",1982,9,0,0,0,54,200,48.9233093463215
"ID_7",1997,8,1,0,0,323,12,33.2442902061609
"ID_19",2007,3,1,1,1,140,558,0.507383019609949
"ID_4",2007,3,1,1,0,357,81,50.8525578015936
"ID_4",1993,8,1,0,0,240,227,10.347701863107
"ID_18",1980,3,0,0,0,129,450,79.51024402692
"ID_1",1991,5,1,1,0,99,544,34.5657321966109
"ID_8",2001,11,1,0,0,267,30,4.38859114082113
"ID_7",1997,5,1,0,0,224,147,64.5323958869151
"ID_6",2006,12,1,1,1,146,316,68.0733777194927
"ID_17",1988,7,0,0,0,134,485,15.5066712636636
"ID_4",1996,4,1,1,0,155,343,163.800200809342
"ID_16",2007,9,1,1,1,222,590,0.00212066143583387
"ID_20",2005,4,1,1,0,73,107,22.5521537156986
"ID_16",2004,4,1,1,1,370,581,0.00000505398929074933
"ID_11",2005,1,1,1,1,207,178,77.5118959213295
"ID_5",2005,2,1,1,0,16,157,13.3435788994912
"ID_5",1990,9,1,0,0,162,505,40.9436886699526
"ID_19",2007,1,1,1,1,129,31,38.8553421648434
"ID_20",1981,1,0,0,0,107,10,6.09918375133273
"ID_4",1993,4,1,0,0,264,570,0.0488772033242393
"ID_14",2001,3,1,1,0,130,356,106.5738299561
"ID_8",1985,7,0,0,0,247,437,83.2797757389921
"ID_17",1983,7,0,0,0,355,474,7.15783629801201
"ID_15",1997,3,1,0,0,362,304,0.0685063980856515
"ID_10",1998,10,1,1,1,78,485,101.140767340434
"ID_16",2003,10,1,1,1,271,75,12.0783717622826
"ID_12",1980,4,0,0,0,79,257,118.374829403012
"ID_10",1980,3,0,0,0,140,309,29.9899357189507
"ID_12",2005,4,1,1,0,217,499,1.07070928420031
"ID_10",1987,2,0,0,0,171,557,5.17891979886095
"ID_17",2008,2,1,1,0,204,227,22.9448898510984
"ID_11",1997,3,1,1,0,27,54,51.3158105995349
"ID_7",1983,1,0,0,0,187,575,41.8776063400064
"ID_17",2000,5,1,0,0,353,506,0.024802646359468
"ID_2",2007,10,1,1,0,375,95,62.2928211361751
"ID_7",1995,5,1,0,0,11,560,0.0743179563119874
"ID_7",1991,11,1,0,0,179,112,20.9081252832595
"ID_6",1997,7,1,1,0,100,211,11.563739970372
"ID_18",1989,8,1,0,0,387,527,0.0000189016549741711
"ID_7",2002,10,1,0,0,359,548,0.000440166179887685
"ID_18",2005,9,1,1,0,184,288,20.8012525601148
"ID_13",2002,1,1,0,0,372,165,21.1629711499841
"ID_5",1996,1,1,0,0,324,136,39.4872077666688
"ID_5",1999,7,1,1,0,95,389,52.9056986375528
"ID_9",1999,3,1,1,0,233,368,69.1776950406631
"ID_15",1996,9,1,0,0,350,170,90.1341840729804
"ID_3",2004,10,1,1,1,26,267,3.47746850472941
"ID_18",2002,3,1,1,0,24,489,0.0105992342135006
"ID_15",2008,2,1,1,0,158,348,19.5988258632549
"ID_6",1999,11,1,1,1,106,580,13.8257355138912
"ID_7",1990,8,1,0,0,329,408,9.8591981893753
"ID_10",2007,3,1,1,1,106,39,141.823362397489
"ID_4",2008,9,1,1,0,69,87,59.4310488920755
"ID_19",2002,8,1,1,0,286,460,6.19012100374452
"ID_5",2008,10,1,1,0,214,167,26.8051147222251
"ID_4",1986,10,1,0,0,231,37,9.43773448802617
"ID_20",1992,11,1,1,0,119,156,8.63702968787738
"ID_18",1999,10,1,1,0,64,367,28.6762215032073
"ID_7",1989,1,1,0,0,208,402,49.4422625139009
"ID_20",1985,5,0,0,0,277,200,4.17729700992199
"ID_18",1981,5,0,0,0,351,305,3.27521709698116
"ID_19",2008,2,1,1,1,219,131,83.3873299021885
"ID_17",1986,3,0,0,0,58,77,80.4140059538838
"ID_10",1986,11,0,0,0,26,562,49.1424111550409
"ID_2",2002,2,1,1,0,46,341,8.60195018278703
"ID_6",2007,1,1,1,1,126,216,12.8321230062185
"ID_10",1984,7,0,0,0,278,368,31.1479055971292
"ID_11",1992,11,0,0,0,289,151,3.95563234040007
"ID_7",1980,10,0,0,0,212,237,73.6580831962007
"ID_16",1989,4,1,0,0,76,28,32.1621839549465
"ID_6",2008,3,1,1,1,8,251,0.778111104593079
"ID_13",1990,12,1,0,0,362,440,0.176736699124992
"ID_15",1995,10,1,0,0,149,213,48.1905411745692
"ID_20",1986,10,1,0,0,237,408,143.003558127226
"ID_14",1993,11,1,1,0,338,90,57.3746437725479
"ID_19",1983,3,0,0,0,113,385,10.3642035862905
"ID_1",2007,4,1,1,1,270,70,9.01224705389528
"ID_10",1993,2,1,0,0,221,464,23.5417752728004
"ID_5",1998,12,1,1,0,346,148,197.199689973991
"ID_19",1984,2,0,0,0,265,593,0.415815083187601
"ID_9",1999,8,1,1,0,160,153,63.339746015032
"ID_5",1980,8,0,0,0,393,425,15.1870991450427
"ID_11",2008,12,1,1,1,286,184,7.68144050669133
"ID_16",1996,4,1,1,1,247,72,30.2766699164332
"ID_8",1996,7,1,0,0,43,95,63.1108484365033
"ID_10",1988,3,0,0,0,65,534,58.0121265373266
"ID_8",2001,4,1,0,0,375,118,51.4969176311911
"ID_11",1989,8,0,0,0,238,200,11.6440355933065
"ID_13",1985,8,0,0,0,353,174,226.177458158516
"ID_2",1989,6,0,0,0,246,519,1.58683930676221
"ID_7",1980,6,0,0,0,158,224,71.8360334385814
"ID_7",1989,11,1,0,0,322,137,46.9072800782192
"ID_9",2004,6,1,1,0,43,561,0.0801717374598549
"ID_11",1982,4,0,0,0,251,399,19.6060469974229
"ID_14",1994,4,1,1,0,191,129,21.7486260055209
"ID_2",2001,5,1,1,0,338,84,94.993047215603
"ID_11",1995,3,1,0,0,145,497,59.9183766180848
"ID_13",2002,1,1,0,0,63,38,67.8497144226781
"ID_8",2003,12,1,0,0,195,279,30.2385743426394
"ID_2",1989,3,0,0,0,229,10,8.19418927557789
"ID_9",1985,4,1,0,0,291,249,1.56249851885485
"ID_16",1985,12,0,0,0,240,254,24.1495734993293
"ID_13",2004,1,1,1,0,187,305,54.8492372084176
"ID_10",2002,2,1,1,1,194,480,112.901464870889
"ID_11",1986,11,0,0,0,158,489,32.6547864226217
"ID_14",1980,12,0,0,0,355,412,25.0170308948153
"ID_17",1990,10,1,0,0,70,342,0.475101252723459
"ID_12",2008,10,1,1,0,29,347,2.6952586907416
"ID_7",1984,8,0,0,0,262,575,4.33815216867125
"ID_13",1984,1,0,0,0,205,415,149.564787060548
"ID_11",1986,6,0,0,0,294,188,4.95504842326039
"ID_11",1984,12,0,0,0,65,422,15.0869044655909
"ID_7",2005,6,1,1,0,375,323,0.413658597011939
"ID_5",1996,9,1,0,0,280,191,12.0145796244592
"ID_18",2009,3,1,1,0,89,461,14.5819655432033
"ID_6",1990,1,1,1,0,311,32,15.5691734491069
"ID_1",1991,2,1,1,0,115,87,18.0508479899497
"ID_6",1996,12,1,1,0,104,299,8.09105459041987
"ID_18",2002,7,1,1,0,114,15,47.3526547197198
"ID_14",2005,8,1,1,0,310,283,22.724648514991
"ID_6",1990,10,1,1,0,117,493,26.8608909943912
"ID_17",1987,11,0,0,0,219,287,24.4473222954245
"ID_2",1998,12,1,0,0,62,10,37.7875239828563
"ID_1",1999,12,1,1,1,366,403,5.34773810910651
"ID_1",2004,7,1,1,1,144,191,39.726834319147
"ID_5",1994,10,1,0,0,325,312,0.473034164578741
"ID_18",2002,9,1,1,0,191,109,59.4707576868448
"ID_19",2005,8,1,1,1,173,233,57.3625433106257
"ID_4",1996,1,1,1,0,290,217,45.2676953982396
"ID_4",1994,7,1,1,0,82,581,3.09302857266652
"ID_4",1995,3,1,1,0,347,348,0.0976852270156987
"ID_12",1993,4,1,0,0,312,22,21.3160696962275
"ID_16",2001,4,1,1,1,198,243,85.9638181756573
"ID_14",1980,4,0,0,0,187,436,79.4103758781232
"ID_4",1985,2,1,0,0,25,192,23.3761609213012
"ID_14",1998,5,1,1,0,336,348,1.23108693517537
"ID_9",1996,9,1,0,0,234,408,47.0915902784613
"ID_3",1987,12,1,0,0,85,39,34.1849448848933
"ID_19",1984,8,0,0,0,213,192,26.9604509650304
"ID_6",1994,4,1,1,0,185,265,8.12880777080851
"ID_20",1992,3,1,1,0,98,220,15.1558211812237
"ID_9",2007,7,1,1,1,313,415,20.4657584525836
"ID_20",1997,1,1,1,0,64,477,108.183596078567
"ID_3",2008,9,1,1,1,59,68,143.193738754813
"ID_12",2002,3,1,1,0,163,480,158.65218570446
"ID_19",1982,9,0,0,0,52,47,53.4201052869044
"ID_5",2008,10,1,1,0,290,424,13.9626750470806
"ID_9",1999,11,1,1,0,373,390,1.92439708822194
"ID_14",1999,8,1,1,0,79,369,61.8420760142268
"ID_8",1994,10,1,0,0,179,177,31.7141804685849
"ID_19",1987,5,0,0,0,365,504,0.0253370599014416
"ID_16",2006,6,1,1,1,198,189,146.627758479236
"ID_7",1990,3,1,0,0,89,212,8.12154900894813
"ID_7",1995,9,1,0,0,155,222,91.7382851620562
"ID_11",2000,7,1,1,1,191,235,68.7218817496057
"ID_17",1998,2,1,0,0,258,290,28.5781030805283
"ID_2",2008,11,1,1,0,30,289,6.76125079924728
"ID_13",1998,6,1,0,0,21,64,33.5433520686728
"ID_4",1986,12,1,0,0,142,432,23.8255311508203
"ID_19",2001,4,1,1,0,286,551,0.0124178326195074
"ID_17",2006,4,1,1,0,317,206,1.49304954671869
"ID_4",2006,12,1,1,0,33,437,0.135352250011803
"ID_7",1992,12,1,0,0,268,382,64.3981180484903
"ID_19",1995,8,1,1,0,155,241,14.9012368892856
"ID_18",1990,11,1,0,0,334,469,0.50313587566751
"ID_20",1984,9,0,0,0,279,268,2.79931472473888
"ID_9",1987,2,1,0,0,67,307,1.91121452116511
"ID_19",1989,8,1,0,0,110,352,1.59829078137375
"ID_16",1984,1,0,0,0,197,192,109.833122855994
"ID_3",1996,12,1,0,0,330,236,35.5774785751946
"ID_16",1996,7,1,1,1,235,385,52.3779387097526
"ID_16",2002,5,1,1,1,12,469,0.0124298194664682
"ID_18",2009,4,1,1,0,358,428,0.324662550009315
"ID_20",1983,10,0,0,0,379,195,99.2218175966873
"ID_1",1989,12,1,0,0,157,123,6.69657444405613
"ID_19",1993,9,1,1,0,177,377,149.937132680292
"ID_19",1995,10,1,1,0,324,137,51.8553082516255
"ID_14",1990,6,1,0,0,64,205,15.0051569939254
"ID_8",1980,5,0,0,0,84,460,40.792137959336
"ID_8",2006,5,1,1,0,162,316,62.0854158889187
"ID_4",1982,1,0,0,0,20,61,37.2241486263366
"ID_20",2002,10,1,1,0,377,46,29.701245437482
"ID_10",1993,4,1,0,0,157,356,127.306891546431
"ID_12",2007,12,1,1,0,19,165,19.6925784814377
"ID_11",1995,9,1,0,0,149,502,29.8100982066607
"ID_2",1996,8,1,0,0,139,181,25.677303070228
"ID_9",1996,5,1,0,0,127,554,26.2576810930689
"ID_17",1982,4,0,0,0,222,534,21.6481789392966
"ID_20",2005,10,1,1,0,136,126,13.2371185602037
"ID_11",2001,5,1,1,1,106,455,118.490345738004
"ID_9",1986,10,1,0,0,370,56,24.6140077071508
"ID_18",1995,9,1,1,0,152,108,12.4826680127909
"ID_3",1980,11,0,0,0,310,8,22.8819623590455
"ID_15",1980,4,0,0,0,195,482,117.760666920624
"ID_1",1986,1,1,0,0,62,302,2.69951599980574
"ID_16",1987,8,1,0,0,169,297,92.0379358724007
"ID_18",2007,12,1,1,0,317,493,0.0427587437495084
"ID_2",2002,9,1,1,0,375,382,0.450966669895013
"ID_12",2004,8,1,1,0,21,72,72.1371550818227
"ID_12",2004,9,1,1,0,184,126,73.7312131677925
"ID_16",1996,9,1,1,1,226,567,0.265826418100229
"ID_11",1984,3,0,0,0,378,270,0.572363909970505
"ID_15",1999,7,1,0,0,186,96,100.495748761656
"ID_18",1992,4,1,0,0,262,275,32.95560166199
"ID_4",1994,11,1,1,0,299,336,3.61230497072618
"ID_13",1987,10,1,0,0,321,453,4.061830668972
"ID_15",1988,10,0,0,0,162,163,7.89052314336947
"ID_9",2009,9,1,1,1,102,297,146.449429731124
"ID_19",2005,4,1,1,1,60,233,2.12790440186022
"ID_2",1997,9,1,0,0,240,128,54.1185012045487
"ID_4",1983,9,1,0,0,104,440,28.7424656014757
"ID_5",1986,9,1,0,0,128,88,24.5345212626872
"ID_9",1988,2,1,0,0,319,358,39.6915228318323
"ID_1",1981,8,0,0,0,148,228,10.1784395655181
"ID_3",2002,4,1,1,1,165,270,24.1161295608254
